Dateadded (UTC)	URL	Status	Tags	Reporter
2026-04-11 18:09:32	http://s3.mgirbvre.top:8888/linux_mipsel	Offline	elf Kaiji ua-wget	 NDA0E
2026-04-11 18:09:26	http://s3.mgirbvre.top:8888/linux_386	Offline	elf Kaiji ua-wget	 NDA0E
2026-04-11 18:09:26	http://s3.mgirbvre.top:8888/linux_amd64	Offline	elf Kaiji ua-wget	 NDA0E
2026-04-11 18:09:26	http://s3.mgirbvre.top:8888/linux_mips64el	Offline	elf Kaiji ua-wget	 NDA0E
2026-04-11 18:09:25	http://s3.mgirbvre.top:8888/linux_arm7	Offline	elf Kaiji ua-wget	 NDA0E
2026-04-11 18:09:21	http://s3.mgirbvre.top:8888/linux_arm6	Offline	elf Kaiji ua-wget	 NDA0E
2026-04-11 18:09:15	http://s3.mgirbvre.top:8888/linux_arm5	Offline	elf Kaiji ua-wget	 NDA0E
2026-04-11 18:09:15	http://s3.mgirbvre.top:8888/linux_mips64	Offline	elf Kaiji ua-wget	 NDA0E
2026-04-11 18:09:15	http://s3.mgirbvre.top:8888/linux_aarch64	Offline	elf Kaiji ua-wget	 NDA0E
2026-04-11 18:09:15	http://s3.mgirbvre.top:8888/linux_mips	Offline	elf Kaiji ua-wget	 NDA0E
2026-04-11 18:07:09	http://176.65.149.237/download.sh	Offline	Kaiji sh ua-wget	 NDA0E
2026-04-11 18:06:37	http://176.65.149.237/linux_arm7	Offline	elf Kaiji ua-wget	 NDA0E
2026-04-11 18:06:33	http://176.65.149.237/linux_amd64	Offline	elf Kaiji ua-wget	 NDA0E
2026-03-06 14:21:32	http://45.207.157.11/linux_arm7	Offline	elf Kaiji ua-wget	 NDA0E
2026-03-06 14:21:24	http://45.207.157.11/linux_amd64	Offline	elf Kaiji ua-wget	 NDA0E
2026-03-06 14:21:24	http://45.207.157.11/linux_arm64	Offline	elf Kaiji ua-wget	 NDA0E
2026-02-25 20:24:20	http://130.12.182.211:25196/el	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:24:15	http://118.107.41.238:808/linux_mipsel_softfloat	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:24:02	http://118.107.41.238:808/linux_mips64_softfloat	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:24:02	http://118.107.41.238:808/linux_mips64el	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:24:02	http://118.107.41.238:808/linux_ppc64	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:24:02	http://118.107.41.238:808/linux_mips	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:24:02	http://118.107.41.238:808/linux_arm6	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:24:02	http://118.107.41.238:808/linux_mips_softfloat	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:24:02	http://118.107.41.238:808/linux_arm64	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:24:02	http://118.107.41.238:808/linux_arm5	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:24:01	http://118.107.41.238:808/linux_arm7	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:23:58	http://118.107.41.238:808/linux_mips64	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:23:57	http://118.107.41.238:808/linux_amd64	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:23:56	http://118.107.41.238:808/linux_mips64el_softfloat	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:23:56	http://118.107.41.238:808/linux_386	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:23:55	http://118.107.41.238:808/linux_ppc64el	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-25 20:23:49	http://118.107.41.238:808/linux_mipsel	Offline	Kaiji mirai - opendir	 DaveLikesMalwre
2026-02-22 11:20:20	http://130.12.182.211:25196/linux_amd64	Offline	elf Kaiji ua-wget	 NDA0E
2026-02-22 11:20:20	http://130.12.182.211:25196/linux_mips64	Offline	elf Kaiji ua-wget	 NDA0E
2026-02-22 11:20:20	http://130.12.182.211:25196/linux_arm5	Offline	elf Kaiji ua-wget	 NDA0E
2026-02-22 11:20:20	http://130.12.182.211:25196/linux_mipsel	Offline	elf Kaiji ua-wget	 NDA0E
2026-02-22 11:20:20	http://130.12.182.211:25196/linux_386	Offline	elf Kaiji ua-wget	 NDA0E
2026-02-22 11:20:20	http://130.12.182.211:25196/linux_mips	Offline	elf Kaiji ua-wget	 NDA0E
2026-02-22 11:20:20	http://130.12.182.211:25196/linux_arm7	Offline	elf Kaiji ua-wget	 NDA0E
2026-02-22 11:20:20	http://130.12.182.211:25196/linux_aarch64	Offline	elf Kaiji ua-wget	 NDA0E
2026-02-22 11:20:20	http://130.12.182.211:25196/linux_arm6	Offline	elf Kaiji ua-wget	 NDA0E
2026-02-01 23:59:33	http://orcjtktm.xyz:808/linux_ppc64el	Offline	botnetdomain Kaiji mirai -	 DaveLikesMalwre
2026-02-01 23:53:32	http://lixcwtte.xyz:808/linux_arm5	Offline	botnetdomain Kaiji mirai -	 DaveLikesMalwre
2026-02-01 23:53:10	http://orcjtktm.xyz:808/linux_amd64	Offline	botnetdomain Kaiji mirai -	 DaveLikesMalwre
2026-02-01 23:52:54	http://ogvsjrzp.xyz:808/linux_mipsel_softfloat	Offline	botnetdomain Kaiji mirai -	 DaveLikesMalwre
2026-02-01 23:51:58	http://os6dx651.xyz:808/linux_mips64el	Offline	botnetdomain Kaiji mirai -	 DaveLikesMalwre
2026-02-01 23:51:31	http://rjooiyab.xyz:808/linux_arm6	Offline	botnetdomain Kaiji mirai -	 DaveLikesMalwre
