family,K,lam,final_mean,final_std,auc_mean,auc_std
mirai,0,0.5,818.0,254.83955736894538,285.48171845937907,159.42410166381998
mirai,0,1.0,818.0,254.83955736894538,285.48171845937907,159.42410166381998
mirai,0,1.5,818.0,254.83955736894538,285.48171845937907,159.42410166381998
mirai,0,2.0,818.0,254.83955736894538,285.48171845937907,159.42410166381998
mirai,0,2.5,818.0,254.83955736894538,285.48171845937907,159.42410166381998
mirai,0,3.0,818.0,254.83955736894538,285.48171845937907,159.42410166381998
mirai,0,5.0,818.0,254.83955736894538,285.48171845937907,159.42410166381998
mirai,0,10.0,818.0,254.83955736894538,285.48171845937907,159.42410166381998
mirai,0,15.0,818.0,254.83955736894538,285.48171845937907,159.42410166381998
mirai,0,20.0,818.0,254.83955736894538,285.48171845937907,159.42410166381998
mirai,1,0.5,833.0,267.8805704040515,260.2952567632136,142.3577623626389
mirai,1,1.0,833.0,267.8805704040515,282.10155123652765,156.56651039721555
mirai,1,1.5,833.0,267.8805704040515,283.82941244189965,155.77476280997405
mirai,1,2.0,833.0,267.8805704040515,285.5834201744478,156.70673998136817
mirai,1,2.5,833.0,267.8805704040515,286.18889792161633,157.46515698127627
mirai,1,3.0,833.0,267.8805704040515,286.18889792161633,157.46515698127627
mirai,1,5.0,833.0,267.8805704040515,287.7262922046771,159.09800823993427
mirai,1,10.0,833.0,267.8805704040515,290.7895068357592,162.89076556564302
mirai,1,15.0,833.0,267.8805704040515,290.7895068357592,162.89076556564302
mirai,1,20.0,833.0,267.8805704040515,290.7895068357592,162.89076556564302
mirai,2,0.5,838.6,274.1945294859108,257.48367932344024,139.13561128800433
mirai,2,1.0,838.6,274.1945294859108,282.64630223660635,152.63835365531892
mirai,2,1.5,838.6,274.1945294859108,284.1973989232198,154.3877728574921
mirai,2,2.0,838.6,274.1945294859108,287.00478586287227,158.34859211476362
mirai,2,2.5,838.6,274.1945294859108,287.0900963434512,158.21083967341218
mirai,2,3.0,838.6,274.1945294859108,288.19572062281134,159.66775049986984
mirai,2,5.0,838.6,274.1945294859108,291.0467198165343,163.15272846396226
mirai,2,10.0,838.6,274.1945294859108,293.4827126579021,165.9797038191419
mirai,2,15.0,838.6,274.1945294859108,293.3810689442994,165.8212218031112
mirai,2,20.0,838.6,274.1945294859108,293.4642811205329,165.89426165650153
mirai,3,0.5,840.6,274.57064664672373,239.8920513524666,135.25020953444417
mirai,3,1.0,840.6,274.57064664672373,281.313851416972,150.3980091536306
mirai,3,1.5,840.6,274.57064664672373,283.01706072247123,151.84084978806487
mirai,3,2.0,840.6,274.57064664672373,286.14046224984077,156.24775808864894
mirai,3,2.5,840.6,274.57064664672373,288.9257567614312,160.29769367587934
mirai,3,3.0,840.6,274.57064664672373,289.69618106925327,160.72786748814386
mirai,3,5.0,840.6,274.57064664672373,291.7816635716616,163.12297174347455
