Timestamp,CPU_Usage(%),Memory_Usage(MB),Bytes_Received(Bytes),Bytes_Sent(Bytes),,,,,,
2025-01-13 07:44:33,0,8.78,,,,,,,,
2025-01-13 07:44:34,4,11.87,,,,,,,,
2025-01-13 07:44:35,2,11.87,,,,,,,,
2025-01-13 07:44:36,1.3,11.87,,,,,,,,
2025-01-13 07:44:37,1,11.87,,,,,,,,
2025-01-13 07:44:38,0.8,11.87,,,,,,,,
2025-01-13 07:44:39,0.6,11.87,,,,,,,,
2025-01-13 07:44:40,0.5,11.87,,,,,,,,
2025-01-13 07:44:41,0.5,11.87,,,,,0,,,8.78
2025-01-13 07:44:42,0.4,11.87,,,,,4,,,11.87
2025-01-13 07:44:43,0.4,11.87,,,,,2,,,11.87
2025-01-13 07:44:44,0.3,11.87,,,,,1.3,,,11.87
2025-01-13 07:44:45,0.3,11.87,,,,,1,,,11.87
2025-01-13 07:44:46,0.3,11.87,,,,,0.8,,,11.87
2025-01-13 07:44:47,0.2,11.87,,,,,0.6,,,11.87
2025-01-13 07:44:48,0.2,11.87,,,,,0.5,,,11.87
2025-01-13 07:44:49,0.2,11.87,,,,,0.5,,,11.87
2025-01-13 07:44:50,0.2,11.87,,,,,0.4,,,11.87
2025-01-13 07:44:52,0.2,11.87,,,,,0.4,,,11.87
2025-01-13 07:44:53,0.2,11.87,,,,,0.3,,,11.87
2025-01-13 07:44:54,0.1,11.87,,,,,0.3,,,11.87
2025-01-13 07:44:55,0.1,11.87,,,,,0.3,,,11.87
2025-01-13 07:44:56,0.1,11.87,,,,,0.2,,,11.87
2025-01-13 07:44:57,0.1,11.87,,,,,0.2,,,11.87
2025-01-13 07:44:58,0.1,11.87,,,,,0.2,,,11.87
2025-01-13 07:44:59,0.1,11.87,,,,,0.2,,,11.87
2025-01-13 07:45:00,0.1,11.87,,,,,0.2,,,11.87
2025-01-13 07:45:01,0.1,11.87,,,,,0.2,,,11.87
2025-01-13 07:45:02,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:03,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:04,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:05,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:06,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:07,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:08,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:09,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:10,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:11,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:12,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:13,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:14,0,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:15,0,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:16,0,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:17,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:18,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:19,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:20,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:21,0.1,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:22,0.1,11.87,,,,,0,,,11.87
2025-01-13 07:45:23,0.1,11.87,,,,,0,,,11.87
2025-01-13 07:45:24,0,11.87,,,,,0,,,11.87
2025-01-13 07:45:25,0,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:26,0,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:27,0,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:28,0,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:29,0,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:30,0,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:31,0,11.87,,,,,0.1,,,11.87
2025-01-13 07:45:32,0,11.87,,,,,,,,
2025-01-13 07:45:33,0,11.87,,,,,16.3,,,590.41
2025-01-13 07:45:35,0,11.87,,,,,,,,
2025-01-13 07:45:36,0,11.87,,,,,,,,
2025-01-13 07:45:37,0,11.87,,,,,0.326,,,11.8082
2025-01-13 07:45:38,0,11.87,,,,,,,,
2025-01-13 07:45:39,0,11.87,,,,,,,,
2025-01-13 07:45:40,0,11.87,,,,,,,,
2025-01-13 07:45:41,0,11.87,,,,,,,,
2025-01-13 07:45:42,0,11.87,,,,,,,,
2025-01-13 07:45:43,0,11.87,,,,,,,,
2025-01-13 07:45:44,0,11.87,,,,,,,,
2025-01-13 07:45:45,0,11.87,,,,,,,,
2025-01-13 07:45:46,0,11.87,,,,,,,,
2025-01-13 07:45:47,0,11.87,,,,,,,,
2025-01-13 07:45:48,0,11.87,,,,,,,,
