Timestamp,CPU_Usage(%),Memory_Usage(MB),,,,,,,,,,,
2025-01-13 03:10:07,93.34,71.83,,,,,,,,CPU,,,Memory
2025-01-13 03:10:10,78.94,105.4,,,,,,,,93.34,,,71.83
2025-01-13 03:10:12,101.93,137.6,,,,,,,,78.94,,,105.4
2025-01-13 03:10:15,52.87,138.9,,,,,,,,101.93,,,137.6
2025-01-13 03:10:17,104.79,145.3,,,,,,,,52.87,,,138.9
2025-01-13 03:10:20,100.68,149.7,,,,,,,,104.79,,,145.3
2025-01-13 03:10:23,100.89,149.7,,,,,,,,100.68,,,149.7
2025-01-13 03:10:25,100.58,149.7,,,,,,,,100.89,,,149.7
2025-01-13 03:10:28,105.14,147.5,,,,,,,,100.58,,,149.7
2025-01-13 03:10:30,100.3,153.3,,,,,,,,105.14,,,147.5
2025-01-13 03:10:33,107.69,157.8,,,,,,,,100.3,,,153.3
2025-01-13 03:10:35,116.6,163.1,,,,,,,,107.69,,,157.8
2025-01-13 03:10:38,131.51,172.1,,,,,,,,116.6,,,163.1
2025-01-13 03:10:41,129.73,177,,,,,,,,131.51,,,172.1
2025-01-13 03:10:43,137.62,183.1,,,,,,,,129.73,,,177
2025-01-13 03:10:46,143.73,190.9,,,,,,,,1424.99,,,2018.93
2025-01-13 03:10:48,148.9,195,,,,,,,,,,,
2025-01-13 03:10:51,139.91,199.3,,,,,,,,,,,
2025-01-13 03:10:53,149.02,203.1,,,,,,,,6.3615625,,,144.209285714286
2025-01-13 03:10:56,151.15,207.3,,,,,,,,,,,
2025-01-13 03:10:58,151.87,211.6,,,,,,,,,,,
2025-01-13 03:11:01,157.09,216.3,,,,,,,,,,,
2025-01-13 03:11:04,154.58,217.5,,,,,,,,,,,
2025-01-13 03:11:06,155.87,222.3,,,,,,,,,,,
2025-01-13 03:11:09,145.96,224.6,,,,,,,,,,,
2025-01-13 03:11:11,153.27,227.2,,,,,,,,,,,
2025-01-13 03:11:14,153.17,232.4,,,,,,,,,,,
2025-01-13 03:11:16,151.48,236.7,,,,,,,,,,,
2025-01-13 03:11:19,97.08,241.3,,,,,,,,,,,
2025-01-13 03:11:21,152.58,249.1,,,,,,,,,,,
2025-01-13 03:11:24,154.87,252.1,,,,,,,,,,,
2025-01-13 03:11:27,152.97,258.9,,,,,,,,,,,
2025-01-13 03:11:29,153.34,262.4,,,,,,,,,,,
2025-01-13 03:11:32,154.17,267.8,,,,,,,,,,,
2025-01-13 03:11:34,151.92,271.5,,,,,,,,,,,
2025-01-13 03:11:37,153.05,278.9,,,,,,,,,,,
2025-01-13 03:11:39,151.44,284.3,,,,,,,,,,,
2025-01-13 03:11:42,149.94,289.2,,,,,,,,,,,
2025-01-13 03:11:44,152.98,293.3,,,,,,,,,,,
2025-01-13 03:11:47,159.71,291.8,,,,,,,,,,,
2025-01-13 03:11:50,152.35,293.2,,,,,,,,,,,
2025-01-13 03:11:52,158.37,292.6,,,,,,,,,,,
2025-01-13 03:11:55,158.41,291.5,,,,,,,,,,,
2025-01-13 03:11:57,153.49,293.7,,,,,,,,,,,
2025-01-13 03:12:00,159.31,292.6,,,,,,,,,,,
2025-01-13 03:12:02,151.67,292.8,,,,,,,,,,,
