Timestamp,CPU_Usage(%),Memory_Usage(MB),,,,,,,,,
2025-01-13 07:05:15,92.8,71.88,,,,,,,,,
2025-01-13 07:05:17,81.23,105.5,,,,,,,,,
2025-01-13 07:05:20,102.27,137.6,,,,,,,,,
2025-01-13 07:05:22,51.29,138.9,,,,,,,,,
2025-01-13 07:05:25,104.28,145.5,,,,,,,,,
2025-01-13 07:05:28,100.37,149.8,,,,,,cpu,,,mem
2025-01-13 07:05:30,100.53,149.8,,,,,,92.8,,,71.88
2025-01-13 07:05:33,100.49,149.8,,,,,,81.23,,,105.5
2025-01-13 07:05:35,104.68,147.6,,,,,,102.27,,,137.6
2025-01-13 07:05:38,98.63,150.8,,,,,,51.29,,,138.9
2025-01-13 07:05:40,103.66,154.3,,,,,,104.28,,,145.5
2025-01-13 07:05:43,105.81,157.3,,,,,,100.37,,,149.8
2025-01-13 07:05:45,114.89,159.8,,,,,,100.53,,,149.8
2025-01-13 07:05:48,115.22,163.1,,,,,,100.49,,,149.8
2025-01-13 07:05:51,112.46,165.1,,,,,,104.68,,,147.6
2025-01-13 07:05:53,116.51,168.4,,,,,,98.63,,,150.8
2025-01-13 07:05:56,120.83,171.9,,,,,,103.66,,,154.3
2025-01-13 07:05:58,122.4,173.9,,,,,,105.81,,,157.3
2025-01-13 07:06:01,128.55,177.3,,,,,,114.89,,,159.8
2025-01-13 07:06:03,129.72,180.5,,,,,,115.22,,,163.1
2025-01-13 07:06:06,131.48,183.3,,,,,,1376.15,,,1981.68
2025-01-13 07:06:09,138.64,187.4,,,,,,,,,
2025-01-13 07:06:11,134.56,190.8,,,,,,,,,
2025-01-13 07:06:14,142.62,194.7,,,,,,,,,
2025-01-13 07:06:16,135.26,195,,,,,,6.14352678571429,,,141.548571428571
2025-01-13 07:06:19,93.05,198.2,,,,,,,,,
2025-01-13 07:06:21,141.47,204.1,,,,,,,,,
2025-01-13 07:06:24,123.1,207.9,,,,,,,,,
2025-01-13 07:06:26,141.4,213.7,,,,,,,,,
2025-01-13 07:06:29,148.86,217.2,,,,,,,,,
2025-01-13 07:06:32,110.58,221.5,,,,,,,,,
2025-01-13 07:06:34,150.18,225.8,,,,,,,,,
2025-01-13 07:06:37,105.28,231.4,,,,,,,,,
2025-01-13 07:06:39,152.34,236.2,,,,,,,,,
2025-01-13 07:06:42,81.13,239,,,,,,,,,
2025-01-13 07:06:44,156.65,244.3,,,,,,,,,
2025-01-13 07:06:47,153.93,248.6,,,,,,,,,
2025-01-13 07:06:49,152.85,250.8,,,,,,,,,
2025-01-13 07:06:52,153.77,255.4,,,,,,,,,
2025-01-13 07:06:55,144.49,255.7,,,,,,,,,
2025-01-13 07:06:57,155.56,256.9,,,,,,,,,
2025-01-13 07:07:00,144.66,257.1,,,,,,,,,
2025-01-13 07:07:02,156.14,258,,,,,,,,,
2025-01-13 07:07:05,155.99,259.4,,,,,,,,,
2025-01-13 07:07:07,113.32,259,,,,,,,,,
2025-01-13 07:07:10,155.6,260,,,,,,,,,
2025-01-13 07:07:12,153.34,261.7,,,,,,,,,
2025-01-13 07:07:15,156.32,261.8,,,,,,,,,
2025-01-13 07:07:18,155.26,264.5,,,,,,,,,
2025-01-13 07:07:20,112.61,264.2,,,,,,,,,
2025-01-13 07:07:23,162.8,268,,,,,,,,,
2025-01-13 07:07:25,155.99,268.7,,,,,,,,,
2025-01-13 07:07:28,102.45,268.8,,,,,,,,,
2025-01-13 07:07:30,155.58,271.4,,,,,,,,,
2025-01-13 07:07:33,154.96,271.8,,,,,,,,,
2025-01-13 07:07:36,138.52,271.3,,,,,,,,,
2025-01-13 07:07:38,157.24,272.7,,,,,,,,,
2025-01-13 07:07:41,152.87,271.9,,,,,,,,,
2025-01-13 07:07:43,116.15,271.4,,,,,,,,,
2025-01-13 07:07:46,156.15,272.9,,,,,,,,,
2025-01-13 07:07:48,153.64,273,,,,,,,,,
2025-01-13 07:07:51,133.78,272.2,,,,,,,,,
2025-01-13 07:07:53,155.03,274.5,,,,,,,,,
2025-01-13 07:07:56,138.48,274.2,,,,,,,,,
2025-01-13 07:07:59,157.85,275.7,,,,,,,,,
2025-01-13 07:08:01,157.08,275.8,,,,,,,,,
2025-01-13 07:08:04,121.53,276.6,,,,,,,,,
2025-01-13 07:08:06,153.25,277.9,,,,,,,,,
2025-01-13 07:08:09,150.17,278.6,,,,,,,,,
2025-01-13 07:08:11,138.4,277.8,,,,,,,,,
2025-01-13 07:08:14,155.91,281.6,,,,,,,,,
2025-01-13 07:08:16,87.69,281.5,,,,,,,,,
2025-01-13 07:08:19,155.06,282.4,,,,,,,,,
2025-01-13 07:08:22,153.29,283,,,,,,,,,
2025-01-13 07:08:24,156.45,283.7,,,,,,,,,
2025-01-13 07:08:27,154.86,284.4,,,,,,,,,
2025-01-13 07:08:29,145.71,284.7,,,,,,,,,
2025-01-13 07:08:32,155.12,285.5,,,,,,,,,
2025-01-13 07:08:34,91.63,285.6,,,,,,,,,
2025-01-13 07:08:37,155.93,287.9,,,,,,,,,
2025-01-13 07:08:40,153.57,287.4,,,,,,,,,
2025-01-13 07:08:42,77.76,286.8,,,,,,,,,
2025-01-13 07:08:45,154.98,288.1,,,,,,,,,
2025-01-13 07:08:47,144.49,288.3,,,,,,,,,
2025-01-13 07:08:50,155.66,289.7,,,,,,,,,
2025-01-13 07:08:52,151.47,290.4,,,,,,,,,
2025-01-13 07:08:55,98.26,289.8,,,,,,,,,
2025-01-13 07:08:57,156.7,293.8,,,,,,,,,
2025-01-13 07:09:00,152.02,294,,,,,,,,,
2025-01-13 07:09:03,87.35,293.1,,,,,,,,,
2025-01-13 07:09:05,154.41,295.5,,,,,,,,,
2025-01-13 07:09:08,147.58,295.5,,,,,,,,,
2025-01-13 07:09:10,152.99,295.5,,,,,,,,,
2025-01-13 07:09:13,155.92,297,,,,,,,,,
2025-01-13 07:09:15,152.62,281.9,,,,,,,,,
2025-01-13 07:09:18,136.59,280.2,,,,,,,,,
2025-01-13 07:09:20,153.98,281.7,,,,,,,,,
2025-01-13 07:09:23,148.41,282.8,,,,,,,,,
2025-01-13 07:09:26,155.74,284.2,,,,,,,,,
2025-01-13 07:09:28,149.92,284.3,,,,,,,,,
2025-01-13 07:09:31,157.18,284.3,,,,,,,,,
2025-01-13 07:09:33,154.34,285.6,,,,,,,,,
2025-01-13 07:09:36,152.6,280.1,,,,,,,,,
2025-01-13 07:09:38,153.51,283.8,,,,,,,,,
2025-01-13 07:09:41,146,285.1,,,,,,,,,
2025-01-13 07:09:44,152.04,286.3,,,,,,,,,
2025-01-13 07:09:46,146.04,286.1,,,,,,,,,
2025-01-13 07:09:49,156.23,286.6,,,,,,,,,
2025-01-13 07:09:51,149.47,288.6,,,,,,,,,
2025-01-13 07:09:54,153.36,287,,,,,,,,,
2025-01-13 07:09:56,152.15,287.3,,,,,,,,,
2025-01-13 07:09:59,153.28,288.1,,,,,,,,,
2025-01-13 07:10:01,145.74,287.1,,,,,,,,,
2025-01-13 07:10:04,155.07,288.7,,,,,,,,,
