Timestamp,CPU_Usage(%),Memory_Usage(MB),,,,,,,,
2025-01-13 07:36:45,92.36,70.91,,,,,,,,
2025-01-13 07:36:48,76.65,105.5,,,,,,,,
2025-01-13 07:36:50,103.58,137.6,,,,,,,,
2025-01-13 07:36:53,70.49,139.9,,,,,,,,
2025-01-13 07:36:56,105.29,147.5,,,,,,,,
2025-01-13 07:36:58,99.87,149.7,,,,,,,,
2025-01-13 07:37:01,100.98,150.2,,,,,cpu,,,mem
2025-01-13 07:37:03,100.16,146,,,,,92.36,,,70.91
2025-01-13 07:37:06,105.64,148.1,,,,,76.65,,,105.5
2025-01-13 07:37:08,99.27,151.4,,,,,103.58,,,137.6
2025-01-13 07:37:11,103.41,154.1,,,,,70.49,,,139.9
2025-01-13 07:37:13,105.19,157.1,,,,,105.29,,,147.5
2025-01-13 07:37:16,114.36,159.9,,,,,99.87,,,149.7
2025-01-13 07:37:19,113.64,163.9,,,,,100.98,,,150.2
2025-01-13 07:37:21,115.07,168,,,,,100.16,,,146
2025-01-13 07:37:24,118.33,174.1,,,,,105.64,,,148.1
2025-01-13 07:37:26,62.92,177.4,,,,,99.27,,,151.4
2025-01-13 07:37:29,132.75,184.2,,,,,103.41,,,154.1
2025-01-13 07:37:31,134.81,189.6,,,,,105.19,,,157.1
2025-01-13 07:37:34,136.8,195.4,,,,,114.36,,,159.9
2025-01-13 07:37:36,143.42,201.1,,,,,113.64,,,163.9
2025-01-13 07:37:39,141.07,203.6,,,,,1390.89,,,1981.81
2025-01-13 07:37:42,142.82,208,,,,,,,,
2025-01-13 07:37:44,145.83,213.4,,,,,,,,
2025-01-13 07:37:47,146.14,218,,,,,,,,
2025-01-13 07:37:49,149.48,223.2,,,,,6.20933035714286,,,141.557857142857
2025-01-13 07:37:52,150.69,230.1,,,,,,,,
2025-01-13 07:37:54,154.16,234.6,,,,,,,,
2025-01-13 07:37:57,153.3,239.2,,,,,,,,
2025-01-13 07:38:00,154.28,243.7,,,,,,,,
2025-01-13 07:38:02,154.94,248.3,,,,,,,,
2025-01-13 07:38:05,155.1,252.8,,,,,,,,
2025-01-13 07:38:07,156.57,257,,,,,,,,
2025-01-13 07:38:10,157.72,260.1,,,,,,,,
2025-01-13 07:38:12,156.43,264.3,,,,,,,,
2025-01-13 07:38:15,163.27,268.8,,,,,,,,
2025-01-13 07:38:17,154.28,272.1,,,,,,,,
2025-01-13 07:38:20,156.16,275.7,,,,,,,,
2025-01-13 07:38:23,154.63,279.6,,,,,,,,
2025-01-13 07:38:25,159.84,279.8,,,,,,,,
2025-01-13 07:38:28,159.29,280.2,,,,,,,,
2025-01-13 07:38:30,157.77,280.7,,,,,,,,
2025-01-13 07:38:33,157.99,281.7,,,,,,,,
2025-01-13 07:38:35,154.12,284.4,,,,,,,,
2025-01-13 07:38:38,160.39,282.9,,,,,,,,
2025-01-13 07:38:40,155.47,282.4,,,,,,,,
2025-01-13 07:38:43,161.74,281.3,,,,,,,,
2025-01-13 07:38:46,158.11,279.7,,,,,,,,
2025-01-13 07:38:48,155.24,279.5,,,,,,,,
2025-01-13 07:38:51,155.57,279,,,,,,,,
2025-01-13 07:38:53,159.59,278.5,,,,,,,,
2025-01-13 07:38:56,153.88,278.2,,,,,,,,
2025-01-13 07:38:58,155.66,277,,,,,,,,
2025-01-13 07:39:01,148.58,276.7,,,,,,,,
2025-01-13 07:39:03,147.31,276.4,,,,,,,,
2025-01-13 07:39:06,149.32,276.4,,,,,,,,
2025-01-13 07:39:09,153.26,276,,,,,,,,
2025-01-13 07:39:11,146,275.4,,,,,,,,
2025-01-13 07:39:14,148.59,278.1,,,,,,,,
2025-01-13 07:39:16,142.52,278.2,,,,,,,,
2025-01-13 07:39:19,146.22,278.2,,,,,,,,
2025-01-13 07:39:21,138.78,278.3,,,,,,,,
2025-01-13 07:39:24,140.25,278.9,,,,,,,,
2025-01-13 07:39:27,141.86,280,,,,,,,,
2025-01-13 07:39:29,142.25,281.7,,,,,,,,
2025-01-13 07:39:32,143.51,280.9,,,,,,,,
2025-01-13 07:39:34,143.99,281,,,,,,,,
2025-01-13 07:39:37,134.29,281.3,,,,,,,,
2025-01-13 07:39:39,139.16,282.1,,,,,,,,
2025-01-13 07:39:42,136.86,282.8,,,,,,,,
2025-01-13 07:39:44,141.14,284.4,,,,,,,,
2025-01-13 07:39:47,136.8,285.6,,,,,,,,
2025-01-13 07:39:50,142.33,288.9,,,,,,,,
2025-01-13 07:39:52,146.53,290.2,,,,,,,,
2025-01-13 07:39:55,150.31,292.3,,,,,,,,
2025-01-13 07:39:57,145.1,293.3,,,,,,,,
2025-01-13 07:40:00,149.82,295.6,,,,,,,,
2025-01-13 07:40:02,147.81,296.2,,,,,,,,
2025-01-13 07:40:05,152.12,297.8,,,,,,,,
2025-01-13 07:40:07,148.15,260.2,,,,,,,,
2025-01-13 07:40:10,150.09,261.9,,,,,,,,
2025-01-13 07:40:13,154.36,263.7,,,,,,,,
2025-01-13 07:40:15,154.46,266.1,,,,,,,,
2025-01-13 07:40:18,153.98,268.5,,,,,,,,
2025-01-13 07:40:20,155.54,271,,,,,,,,
2025-01-13 07:40:23,154.96,272.2,,,,,,,,
2025-01-13 07:40:25,153.34,273.8,,,,,,,,
2025-01-13 07:40:28,157.67,277,,,,,,,,
2025-01-13 07:40:30,158.99,276.9,,,,,,,,
2025-01-13 07:40:33,157.37,278.5,,,,,,,,
2025-01-13 07:40:36,155.32,279.1,,,,,,,,
2025-01-13 07:40:38,158.29,279.6,,,,,,,,
2025-01-13 07:40:41,156.66,280.2,,,,,,,,
2025-01-13 07:40:43,158.29,281.2,,,,,,,,
2025-01-13 07:40:46,160.39,279.2,,,,,,,,
2025-01-13 07:40:48,157.35,280.4,,,,,,,,
2025-01-13 07:40:51,155.91,280.5,,,,,,,,
2025-01-13 07:40:54,155.36,280.4,,,,,,,,
2025-01-13 07:40:56,151.95,280.3,,,,,,,,
2025-01-13 07:40:59,150.37,279.5,,,,,,,,
2025-01-13 07:41:01,152.56,279.2,,,,,,,,
2025-01-13 07:41:04,156.41,279.4,,,,,,,,
2025-01-13 07:41:06,154.92,279.4,,,,,,,,
2025-01-13 07:41:09,158.09,281.4,,,,,,,,
2025-01-13 07:41:11,153.47,281.3,,,,,,,,
2025-01-13 07:41:14,143.07,281,,,,,,,,
2025-01-13 07:41:17,151.35,281.8,,,,,,,,
2025-01-13 07:41:19,151.65,281.9,,,,,,,,
2025-01-13 07:41:22,156.14,283.1,,,,,,,,
2025-01-13 07:41:24,146.81,282.3,,,,,,,,
2025-01-13 07:41:27,144.81,282.3,,,,,,,,
2025-01-13 07:41:29,148.07,282.9,,,,,,,,
2025-01-13 07:41:32,152.39,283.1,,,,,,,,
2025-01-13 07:41:35,151.74,282.9,,,,,,,,
2025-01-13 07:41:37,143.59,283.1,,,,,,,,
2025-01-13 07:41:40,153.92,283.7,,,,,,,,
2025-01-13 07:41:42,145.28,283.8,,,,,,,,
2025-01-13 07:41:45,150.31,286.5,,,,,,,,
2025-01-13 07:41:47,146.61,286.4,,,,,,,,
2025-01-13 07:41:50,148.04,286.5,,,,,,,,
2025-01-13 07:41:52,154.74,286.9,,,,,,,,
2025-01-13 07:41:55,152.9,287,,,,,,,,
2025-01-13 07:41:58,144.23,288,,,,,,,,
2025-01-13 07:42:00,148.92,287.2,,,,,,,,
2025-01-13 07:42:03,153.88,288,,,,,,,,
2025-01-13 07:42:05,152.47,288.4,,,,,,,,
2025-01-13 07:42:08,146.75,289.1,,,,,,,,
2025-01-13 07:42:10,145.21,288.2,,,,,,,,
2025-01-13 07:42:13,147.33,12.41,,,,,,,,
2025-01-13 07:42:15,0,12.07,,,,,,,,
2025-01-13 07:42:18,0,0,,,,,,,,
2025-01-13 07:42:20,0,,,,,,,,,
2025-01-13 07:42:21,0,,,,,,,,,
